זמן תשובה,רב,תשובה
2023-03-07 19:48:32,הרב צביקה,שמונה עשרה בעיקר
2023-03-07 19:49:55,הרב צביקה,עד השקיעה
2023-03-07 19:50:00,הרב צביקה,זה עכשיו
2023-03-07 21:19:42,הרב צביקה,"אפילו אם אמר לו בשעת לקיחת הרבית אני נותנו לך במתנה אסור. (שו""ע יו""ד קס,ב)"
2023-03-07 21:25:04,הרב צביקה,"כן, רק כשזה ממש מעט ולא בכסף"
2023-04-07 13:00:07,הרב צביקה,אם זה מוריד מהמבצעיות לא צריך לצום
2023-04-07 22:36:30,הרב צביקה,"1. אם הוא בכל מקרה לא צם, ניתן לבקש ממנו."
2023-05-07 23:02:19,הרב צביקה,לא בשריות
2023-06-07 05:03:55,הרב צביקה,1. צריך לצום אלא אם כן לא מרגישים טוב
2023-06-07 15:24:05,הרב צביקה,"נכון , אותו דין"
2023-06-07 17:24:37,הרב צביקה,מותר
2023-06-07 21:00:13,הרב צביקה,מותר
2023-06-07 21:01:00,הרב צביקה,יש מנהג אצל הספרדים לומר תיקון רחל לאחר חצות היום
2023-06-07 21:01:09,הרב צביקה,כל שלושת השבועות
2023-06-07 21:01:42,הרב צביקה,לא מברכים שהחיינו בשלושת השבועות
2023-06-07 22:39:13,הרב צביקה,לא
2023-07-07 11:29:12,הרב צביקה,1. לא אם לא מערבבים בין הקמחים
2023-07-07 14:48:58,הרב צביקה,תלוי אם התבנית היתה בת יומה מבליעת הבשרי
2023-07-07 15:03:02,הרב צביקה,ניתן לשים לילדים ולהשתדל לא להנות מהמוסיקה.
2023-07-07 15:04:00,הרב צביקה,אם אתה מתעלם משירת הנשים על ידי רעש אחר לא משנה איזה
2023-07-07 16:37:51,הרב צביקה,לא
2023-07-07 18:45:57,הרב צביקה,המאפה מותר באכילה
2023-07-07 19:07:36,הרב צביקה,מותר לצורך האדם או המקום
2023-07-07 19:27:33,הרב צביקה,לתת לגוי ולשאול ממנו
2023-08-07 22:02:23,הרב צביקה,כלים שאענם שלך לא צריך לעשות כלום
2023-08-07 22:34:09,הרב צביקה,מותר
2023-09-07 10:02:26,הרב צביקה,עדיף שיקרא מי שקורא יותר טוב עם פחות טעיות
2023-09-07 10:32:13,הרב צביקה,אשכנזים - מראש חודש אב אסור לאכול בשר.
2023-09-07 10:38:52,הרב צביקה,משבוע שחל בו תשעה באב
2023-09-07 10:55:39,הרב צביקה,לא
2023-10-07 16:13:09,הרב צביקה,"כותבים בשביל הכסת""ח של האלרגים"
2023-10-07 16:53:00,הרב צביקה,ניתן לענות
2023-11-07 08:13:36,הרב צביקה,"אם בלעדיו אין מניין, שישלים ואח""כ יתפלל רגיל"
2023-11-07 14:15:16,הרב צביקה,"תלוי מה זה ""בחזקת בשרי"""
2023-11-07 14:18:33,הרב צביקה,אם זה ירקות חיים ואין חשש של טיגון בשמן בשרי - אין בעיה
2023-11-07 18:34:39,הרב צביקה,עבה כן
2023-11-07 19:27:53,הרב צביקה,עדיף לקבוע סעודה
2023-11-07 20:32:50,הרב צביקה,13 דקות עחרי שקיעה
2023-11-07 20:33:24,הרב צביקה,חיתוך קר לא חריף מספיק ניקוי ונעיצה בקרקע קשה'
2023-11-07 23:39:38,הרב צביקה,בורא נפשות
2023-12-07 12:49:20,הרב צביקה,מותר
2023-12-07 12:55:22,הרב צביקה,"חז""ל גזרו שלא לאכול חלב שנחלב על ידי גוי שמא יערב בו חלב של בהמות טמאות."
2023-12-07 14:01:35,הרב צביקה,"אבקת חלב עם כשרות שכתוב לאוכלי אבקת חלב נכרי תלוי במחלוקת, וכל אחד יעשה כמנהגו."
2023-12-07 14:01:58,הרב צביקה,חלב נכרי ניתן להקל למי שסומך על הפסק של הרב פיינשטיין.
2023-12-07 14:02:22,הרב צביקה,כשרות ou סומכים על זה
2023-12-07 14:09:06,הרב צביקה,אדמה ובורא נפשות
2023-12-07 14:12:39,הרב צביקה,כן
2023-12-07 17:19:42,הרב צביקה,להוציא וזהו
2023-12-07 22:42:23,הרב צביקה,אם הטיגון היה עם מעט שמן צריך ליבון חמור עד שניצוצות יוצאים וזה קשה לעשות.
2023-12-07 22:45:09,הרב צביקה,זה ליבון קל
2023-12-07 22:46:08,הרב צביקה,כי צריך ליבון חמור
2023-01-08 15:30:19,הרב צביקה,הכל בסדר
2023-01-08 18:21:55,הרב צביקה,מטבילים רק את הברזל
2023-02-08 00:01:28,הרב צביקה,"למצוא גוי למכור לו ולשרול ממנו, או לפרק ולהרכיב, או להטביל ולייבש טוב טוב"
2023-02-08 16:12:11,הרב צביקה,1. כבר לא
2023-03-08 14:12:20,הרב צביקה,"1. אין היתר לשנוא יהודי, השו""ע כותב שמי שעובר עבירות ולא אכפת לו לחזור בתשובה נקרא שונא, אך בספרי חסידות (כמו בתניא) מסבירים שיש לשנוא את מעשיו ולא אותו."
2023-03-08 14:12:32,הרב צביקה,וגם בזה יש מחמירים
2023-03-08 15:43:33,הרב צביקה,1. מותר לאפשר לגוי להכנס לבית כנסת.
2023-03-08 15:49:13,הרב צביקה,לא
2023-03-08 16:04:28,הרב צביקה,"1. לא להתנגד , לבקש שכסה לפחות את הצלב."
2023-06-08 13:56:23,הרב צביקה,ישאר לשבת
2023-06-08 15:24:40,הרב צביקה,1. אומר פסוקי דזמרא ללא ברכת ברוך שאמר וישתבח.
2023-06-08 17:27:01,הרב צביקה,לספרדים כן
2023-06-08 18:57:44,הרב צביקה,לברך בחוץ ולהכנס ולשתות
2023-07-08 14:07:15,הרב צביקה,"1. צריך לגנוז, כי זה תשמיש קדושה."
2023-08-08 00:55:01,הרב צביקה,1. לא כי יש בזה סימן (המספר) ולא בטוח שהוא יתייאש.
2023-08-08 14:07:00,הרב צביקה,"אם הבורקסים עדיין לא היו ראויים לאכילה וכיבית והדלקת - זה מותר לאשכנזים, אם הגוי רק חימם אוכל מוכן זה מותר לכולם"
2023-08-08 15:52:07,הרב צביקה,הרב ישראלי
2023-08-08 15:52:17,הרב צביקה,הרב עובדיה אוסר
2023-08-08 17:36:37,הרב צביקה,"יש בתי כנסת שנוהגים שרק אסל אחד אומר קדיש, ואז יש סדר קדימיות."
2023-09-08 00:57:28,הרב צביקה,אם זה במקום שנוהגים להתפלל
2023-09-08 17:24:37,הרב צביקה,כן
2023-09-08 17:35:59,הרב צביקה,קצת לשחרר שיכנסו מים
2023-10-08 15:17:23,הרב צביקה,נכון
2023-10-08 20:40:31,הרב צביקה,לא אם לא הסחת דעתך
2023-10-08 21:25:01,הרב צביקה,לא
2023-11-08 11:09:45,הרב צביקה,עדיף
2023-11-08 11:19:09,הרב צביקה,אותו דין
2023-11-08 14:40:17,הרב צביקה,1. מותר. אך צריך לדעת שזה לא ערלה.
2023-11-08 15:36:03,הרב צביקה,"1. כן, אם הקרש חיתוך בן יומו מבליעת חלבי חם."
2023-11-08 16:25:22,הרב צביקה,לכתחילה לא אלא אם כן מדובר בעברית או הסטוריה יהודית
2023-12-08 23:26:58,הרב צביקה,"1. עדיף שלא, אם הוא לא מחלל שבת בפרהסיה ניתן להקל."
2023-12-08 23:28:30,הרב צביקה,כבולעו כך פולטו.
2023-12-08 23:30:14,הרב צביקה,"1. לא, רק אם זה צורך מבצעי"
2023-01-09 13:06:55,הרב צביקה,אם המדבקה מפריעה לך ואתה מתכוון להוריד אותה - צריך להטביל שוב
2023-01-09 14:17:01,הרב צביקה,"אם אתה מוריד אותה, סימן שאתה מקפיד וצריך להטביל"
2023-01-09 14:17:39,הרב צביקה,בפטריות אין בעיה של כשרות.
2023-01-09 15:52:12,הרב צביקה,אשה שווה לאיש לכל האיסורים = לא תעשה
2023-03-09 09:01:03,הרב צביקה,אמונה
2023-03-09 15:27:09,הרב צביקה,רק בלחיים
2023-03-09 15:39:49,הרב צביקה,לא להתקרב לעצם
2023-03-09 21:25:44,הרב צביקה,מצוין
2023-04-09 07:09:30,הרב צביקה,"1. ק""ש על המיטה וברכת המפיל מובאת בחז""ל ברכות ד, ובשו""ע או""ח סימן רלט."
2023-04-09 10:01:21,הרב צביקה,לא צריך
2023-04-09 12:53:37,הרב צביקה,זה מנהג ולא דין
2023-04-09 19:11:30,הרב צביקה,"מחלוקת בשו""ע (קפא,ח) וראוי לנגב"
2023-04-09 19:30:00,הרב צביקה,"השו""ע כותב לברך על טלית חבירו וכן על תפילין (שו""ע יד,ד)"
2023-04-09 19:33:44,הרב צביקה,לכתחילה להתחיל לפני השקיעה
2023-04-09 19:36:54,הרב צביקה,בדיעבד אם לא הספיק קודם
2023-04-09 22:22:36,הרב צביקה,"אם אתה כבר לא מרגיש שובע ועבר יותר מ 72 דקות, מפסידים את ברכת המזון, ואם רוצים לאכול צריך לברך שוב ברכה ראשונה"
2023-05-09 07:17:53,הרב צביקה,"מבחינת התיקונים שתיקון חצות צריך לעשות, זה שייך רק מחצות והלאה"
2023-05-09 14:14:46,הרב צביקה,מותר ללא עינויים אם הוא מזיק ואין לך דרך אחרת
2023-05-09 14:31:05,הרב צביקה,העיקר שימות מהר
2023-05-09 16:28:57,הרב צביקה,יש איסור
2023-05-09 19:28:31,הרב צביקה,מותר רק אכילת ארעי אחד אחד.
2023-06-09 06:01:37,הרב צביקה,הישוב מתיר לכל. אחד ולא רק לתושבים
2023-06-09 10:09:59,הרב צביקה,בתוך תיק ניתן להקל
2023-06-09 12:52:47,הרב צביקה,אפשר
2023-06-09 14:01:13,הרב צביקה,מותר לכתחילה
2023-06-09 14:07:41,הרב צביקה,"מלאכה שא""צ לגופה אסור לכתחילה"
2023-06-09 15:10:58,הרב צביקה,כן
2023-06-09 19:18:04,הרב צביקה,‎Your security code with הרב changed.
2023-06-09 19:37:01,הרב צביקה,אם אין סימן מותר
2023-06-09 21:44:02,הרב צביקה,ללא טעם מותר
2023-06-09 22:17:13,הרב צביקה,כך כותב החיד'א.
2023-06-09 23:05:11,הרב צביקה,זה לא חובה שלך לשים מזוזה
2023-07-09 05:56:54,הרב צביקה,מה שאינו מכיל חלבי אינו חלבי ולא משנה מה טעמו.
2023-07-09 06:35:42,הרב צביקה,"אם אתה לא יכול להשיג תפילין של יד, תניח של ראש עם 2 ברכות (לאשכנזים)"
2023-07-09 07:03:37,הרב צביקה,"אם יש לך מניין קבוע יותר מאוחר, עדיף שתתפלל במניין, ותעשה לך תזכורת שלא תפספס"
2023-07-09 09:19:27,הרב צביקה,עדיף שלא
2023-07-09 19:30:19,הרב צביקה,מסתכלים חיצונית
2023-08-09 12:47:09,הרב צביקה,"1. יש דברים שכתובים בספר דברי הימים ב, ויש דברים שאינם בתנ""ך אלא היו בספרי המלכים שכתבו לעצמם."
2023-08-09 12:53:41,הרב צביקה,לא
2023-08-09 15:41:45,הרב צביקה,מצווה לתת צדקה לעני שבאמת זקוק לכסף
2023-08-09 15:59:45,הרב צביקה,לא
2023-08-09 17:38:39,הרב צביקה,1. אם זה בתוך האפוד יחד עם דברים מבצעיים אפשר להקל
2023-09-09 22:08:48,הרב צביקה,‎This message was deleted.
2023-09-09 22:09:16,הרב צביקה,אי אפשר לומר יג מידות לפני חצות
2023-10-09 00:02:51,הרב צביקה,אפשר בשניהם
2023-10-09 07:10:25,הרב צביקה,לברך כשאתה קם סופית
2023-10-09 13:36:59,הרב צביקה,"לדעת הרב עובדיה שיטת השו""ע שרק בביתו של החתן ניתן לברך את כל השבע ברכות, אך אם עושים סעודה בבית אחר לא ניתן לברך אלא את הברכה האחרונה בלבד."
2023-10-09 15:09:37,הרב גבריאל פאל,הרב שמעתי על מרוקאים וגם תוניסאים (צפון אפריקה)
2023-10-09 15:27:55,הרב צביקה,"1. פשט שו""ע אבן העזר סימן סב סעיף י שרק בבית החתן מברכים שבע ברכות, וכך כותב הרב עובדיה, יכול להיות שיש ספרדים שסומכים על שיטת הט""ז."
2023-11-09 07:04:13,הרב צביקה,1. אפשר בכי לא של צער
2023-11-09 13:41:01,הרב גבריאל,שלום הרב
2023-11-09 13:57:19,הרב צביקה,"הרמב""ם כותב שאדם רגיל משתחווה רק בברכת אבות ומודים תחילה וסוף."
2023-11-09 14:46:13,הרב צביקה,"לפי החשבון של פסיק רישא דלא ניחא באיסור דרבנן, אם זו נורת לד בלבד ניתן להקל."
2023-11-09 16:45:38,הרב צביקה,"1. אפשר לספר כדי להסיר מועקה כמו שנאמר : דאגה בלב איש ישחנה, אך אין היתר לעבור על דיני לשון הרע. לכן ניתן לספר בלי שמות."
2023-11-09 17:44:49,הרב צביקה,"יש היתר למי שיוצא לחזור, אך אין היתר לאנשים אחרים לחלל שבת בשבילם"
2023-11-09 17:46:29,הרב צביקה,שישאיר בחוץ או שיפתח בעצמו
2023-11-09 18:09:26,הרב צביקה,ניתן להתפלל בישיבה אם לא תספיק להתפלל בעמידה בזמן
2023-11-09 18:24:58,הרב צביקה,עמידה
2023-11-09 20:56:25,הרב צביקה,יכול
2023-11-09 22:31:50,הרב צביקה,"1. ע""פ הקבלה בשנה הראשונה לא טוב למות שבאים לקברו."
2023-11-09 22:56:05,הרב צביקה,למה בשר חזיר זה טעם לפגם ?
2023-11-09 23:00:21,הרב צביקה,בשר חזיר נותן טעם לשבח.
2023-11-09 23:03:28,הרב צביקה,כנראה בשר חזיר טעים
2023-11-09 23:17:41,הרב צביקה,טעם לפגם ומסונן
2023-11-09 23:19:10,הרב צביקה,"דברי הרמב""ם הם על גזירה שרצו לגזור על שמן גויים כמו שגזרו על יינם , והגזירה נתבטלה"
2023-12-09 06:55:45,הרב צביקה,ללא מים לא מברכים על נטילת ידיים
2023-12-09 18:13:51,הרב צביקה,בורא נפשות
2023-01-10 07:50:17,הרב צביקה,מותר
2023-01-10 08:50:03,הרב צביקה,עדיף
2023-01-10 10:24:04,הרב צביקה,כל מלאכה שאסור לעשות בחול המועד אסור לומר לגוי לעשות.
2023-01-10 12:26:53,הרב צביקה,1. מותר לצורך הנאה במועד.
2023-01-10 17:27:22,הרב צביקה,1. בקר מספיק ניקוי
2023-01-10 18:32:14,הרב צביקה,שלמרות שלא יוצאים ידי חובה הוא לא רצה לצאת בגלל אהבת המצווה
2023-01-10 19:10:54,הרב צביקה,אם אפשר עדיף לנסוע
2023-02-10 11:04:55,הרב צביקה,"1. לולב פסול אי אפשר להשתמש, אפשר לשאול ממישהו אחר."
2023-02-10 13:29:32,הרב צביקה,1. צריך שהסכך לא מלא לגמרי
2023-02-10 15:31:37,הרב צביקה,לא
2023-02-10 17:43:05,הרב צביקה,"1. לא, יש עניין ע""פ האר""י, לא חובה ולא מעכב."
2023-02-10 17:59:53,הרב צביקה,1. תלוי אם הסיח דעתו או לא
2023-02-10 18:34:26,הרב צביקה,נכון
2023-02-10 20:49:16,הרב צביקה,רק אם אין בגד אחר ללבוש
2023-02-10 22:29:29,הרב צביקה,"1. שאין בגד ללבוש, כל בגד"
2023-02-10 23:00:31,הרב צביקה,לא יודע.
2023-02-10 23:23:49,הרב צביקה,נכון
2023-03-10 07:44:58,הרב צביקה,יש בזה מחלוקת
2023-03-10 12:14:29,הרב צביקה,"1. כביצה = 56 סמ""ק"
2023-03-10 16:49:18,הרב צביקה,קדוש פירושו מובדל
2023-03-10 17:28:18,הרב צביקה,ישנם גדולים שמקובל בעם ישראל להגיד עליהם קדוש.
2023-04-10 09:04:07,הרב צביקה,"הרי""ף היה רבו של רבו של אביו של הרמב""ם"
2023-04-10 09:04:55,הרב צביקה,ישנם הרבה ספרים
2023-04-10 11:22:50,הרב צביקה,"1. אסור לתקן את הרכב, אלא אם כן זה לצורך נסיעה במועד ואי אפשר לנסוע כך או להשיג רכב אחר."
2023-04-10 11:40:08,הרב צביקה,רק מה שאי אפשר לנסוע מבלי זה
2023-04-10 11:40:35,הרב צביקה,אפשר שני חורים
2023-04-10 14:19:30,הרב צביקה,אם אין בזה הפסד אז אסור לעשות שיעור בחול המועד
2023-04-10 15:26:53,הרב צביקה,לא
2023-04-10 16:44:53,הרב צביקה,1. אם ידוע שמשתמשים בזה בשבת בלוע בזה איסור ואסור להשתמש
2023-04-10 16:45:23,הרב צביקה,חיובי
2023-04-10 17:23:49,הרב צביקה,אם ביטל תפילה במזיד אין תשלומים
2023-04-10 17:39:50,הרב צביקה,מותר לקנות מוצרים באריזה סגורה עם כשרות.
2023-04-10 18:38:10,הרב צביקה,מותר פירות וירקות
2023-04-10 21:19:30,הרב צביקה,תישן בבית
2023-04-10 22:18:22,הרב צביקה,להפסיק לאכול לחם
2023-05-10 09:26:27,הרב צביקה,דין מעמיד על דבר שמקבל טומאה הוא רק לכתחילה ולא מעכב בדיעבד.
2023-05-10 09:33:54,הרב צביקה,לא יודע
2023-05-10 11:26:54,הרב צביקה,עדיף למצוא תעסוקה אחרת
2023-05-10 11:54:56,הרב צביקה,אשכנזיות יכולות לברך
2023-05-10 12:57:44,הרב צביקה,מותר כדי שלא יזיק
2023-05-10 12:58:10,הרב צביקה,אפילו בשבת
2023-05-10 19:21:56,הרב צביקה,אם אין בזה הפסד לחנות לא צריך
2023-05-10 19:23:24,הרב צביקה,מותר לשתות מחוץ לסוכה.
2023-05-10 19:29:46,הרב צביקה,אין בעיה
2023-06-10 11:03:30,הרב צביקה,אסור
2023-06-10 11:06:18,הרב צביקה,גם אסור
2023-06-10 13:46:47,הרב צביקה,צריך לעשר
2023-06-10 13:56:00,הרב צביקה,אפשר לפני כניסת השבת והחג לשים ברכב
2023-06-10 14:45:35,הרב צביקה,רק אם הרכב נמצא בתוך מקום עם עירוב
2023-06-10 15:17:38,הרב צביקה,לא
2023-06-10 15:18:29,הרב צביקה,לא צריך לפסול
2023-06-10 17:19:41,הרב צביקה,1. מותר כל מה שלא מחובר לסוכה
2023-07-10 21:45:45,הרב צביקה,נכון
2023-08-10 00:17:15,הרב צביקה,רופאים של תקופת הגמרא שעשו כל מיני סגולות ושיותר הזיקו
2023-08-10 09:44:03,הרב גבריאל פאל,"""לשם יחוד קודשה בריך הוא ישכינתא בדחילו ורחימו ורחימו ודחילו הריני מכשיר את גופי להיות בן אמיץ ובעל כח לאומה ולזכות בבחינת תחיית המתים בחזרה לגוף קדוש לא פחות מרוח הקודש יהי רצון מלפנייך ה' אלוקינו ואלוקי אבותינו שכל טיפת זיעה!! יגיעה !! ומאמץ !! שאעשה ברוחי וגוויתי!!! יעלה לרצון ובנחת רוח לפנייך ונזכה לעשות זאת באמת ובלבב שלם"" אהוווווווו (כמו של זאב)"
2023-08-10 10:31:44,הרב צביקה,אסור להתאבד
2023-08-10 10:34:08,הרב צביקה,"רמב""ם הלכות מלכים פרק ז הלכה טו"
2023-08-10 10:36:42,הרב צביקה,לעשות את המקסימום ולהלחם ולא לעשות חשבונות של מה יקרה אחר כך
2023-08-10 10:46:47,הרב צביקה,לעדות את המקסימום שהם יפגעו ולא אתה ולא חבריך
2023-09-10 14:24:02,הרב צביקה,רק אם רעבים ואין משהו אחר
2023-09-10 17:00:05,הרב צביקה,אם הוא לא דתי אי אפשר לסמוך עליו
2023-09-10 18:20:30,הרב צביקה,לנסות לברר שהוא יודע ומקפיד על דיני כשרות
2023-09-10 19:57:09,הרב צביקה,כן
2023-10-10 05:12:12,הרב צביקה,אפשר
2023-10-10 11:26:19,הרב צביקה,1. שולחן ערוך יורה דעה הלכות עבודת כוכבים סימן קנז סעיף ב
2023-10-10 11:46:50,הרב צביקה,"נראה שהם רוצים רק להרוג, ולא להעביר דת"
2023-10-10 11:47:28,הרב צביקה,בכל מקרה חייל לא צריך לחשוב בכלל על מצבים כאלו.
2023-10-10 18:54:20,הרב צביקה,‎This message was deleted.
2023-10-10 18:54:35,הרב צביקה,צריך לברך
2023-11-10 11:39:16,הרב צביקה,כן
2023-12-10 05:35:20,הרב צביקה,👍🏻
2023-12-10 05:36:11,הרב צביקה,"היתרים הלכתיים הם רק במצב שיש פיקוח נפש, וזה יעזור למוכנות לצאת לקרב"
2023-12-10 09:22:37,הרב צביקה,כל מה שנדרש להכנה למלחמה דוחה שבת
2023-12-10 12:22:35,הרב צביקה,אם זה בגלל המצב
2023-12-10 12:33:39,הרב צביקה,עדיף שלא אם אפשר
2023-12-10 15:01:29,הרב צביקה,כל מה שצריך לצורך מוכנות למלחמה צריך ומצווה גם בשבת
2023-12-10 15:26:41,הרב צביקה,ברגל
2023-12-10 15:27:03,הרב צביקה,רק אם גוי עולה אתה יכול להצטרף
2023-12-10 19:58:00,הרב צביקה,אשכנזי מברך הגומל
2023-12-10 22:02:37,הרב צביקה,"1. ספרדים מברכים הגומל על חולה שנתרפא, אסיר שהשתחרר, עובר בים ועובר במדבר."
2023-01-11 09:45:41,הרב צביקה,"לדעת השו""ע צריך שהפתילות תהיינה בצבע של הבגד (שו""ע ט, ה)"
2023-01-11 09:45:57,הרב צביקה,"לפי הרמ""א עדיף בכל מקרה לעשות פתילות לבנות"
2023-02-11 17:55:09,הרב צביקה,1. אפשר להחליף אבל לא צריך.
2023-02-11 19:58:07,הרב צביקה,להוציא וזהו
2023-02-11 20:05:06,הרב צביקה,כן
2023-03-11 08:32:57,הרב צביקה,ישתבח היא הברכה שמסיימת את פסוקי דזמרה לכן עדיף שקודם כל יגיד ישתבח ואז יחפשו מניין
2023-03-11 11:56:50,הרב צביקה,1. אסור ליהודי למול גוי שלא לשם גיור.
2023-03-11 14:52:05,הרב צביקה,תלוי במה שמגדירים לך המפקדים
2023-03-11 16:19:54,הרב צביקה,מה שנראה לך
2023-05-11 13:51:03,הרב צביקה,תלוי אם מתי בישלו במחבת חלבי בפעם האחרונה
2023-05-11 15:02:48,הרב צביקה,האוכל מותר
2023-06-11 16:56:19,הרב צביקה,"1. אם הלימון מתחת לעץ פרטי אסור לקחת, אם נמצא ברחוב או נראה שהבעלים לא אוסף - מותר לקחת ולא צריך לעשר."
2023-06-11 22:28:45,הרב צביקה,לא מעכב סוג הקשירה
2023-07-11 08:14:24,הרב צביקה,כן
2023-07-11 13:12:11,הרב צביקה,אם מקפידים שכל עיסה תהיה בנפרד הן לא מצטרפות
2023-07-11 13:49:15,הרב צביקה,אם מקפידים שלכל עיסה יש יעוד אחר ולא רוצים שהתערבו הן אינן מצטרפות
2023-07-11 14:59:33,הרב צביקה,רק אם אין הקפדה שהתערבבו
2023-07-11 15:44:25,הרב צביקה,"1. מברכים רק על מה שחז""ל קבעו ולא על נוף יפה."
2023-07-11 16:22:48,הרב צביקה,חיובי
2023-08-11 13:42:41,הרב צביקה,חיובי
2023-08-11 17:13:31,הרב צביקה,1. לדעת הרב עובדיה אפשר להשתמש בתנור אחד גם בשרי וגם לחלבי אם מחכים 24 שעות ומחליפים תבניות ומחממים חצי שעה.
2023-08-11 17:40:36,הרב צביקה,לאשכנזים צריך 2 תאים
2023-08-11 17:54:22,הרב צביקה,רק אם ברור לך שאמו דתיה.
2023-08-11 18:53:26,הרב צביקה,לזרוק
2023-08-11 20:10:00,הרב צביקה,"גם שמתארחים אצל משפחה, אם המשפחה הם לא אנשים דתיים בעיה לאכול שם"
2023-08-11 20:19:12,הרב גבריאל פאל,שיעור של הרב
2023-09-11 08:59:40,הרב צביקה,1. אם הם רוצים מעצמם סימן שהם מתחזקים ואפשר שישלימו מניין.
2023-09-11 09:40:54,הרב צביקה,רק אם באים בשמחה ומראים אמונה ולא מהכרח
2023-09-11 09:41:12,הרב צביקה,מנוי תלוי בתנאים של האתר
2023-09-11 10:00:38,הרב צביקה,אסור ללמוד תורה בקירוב 4 אמות ליד קבר משום לועג לרש.
2023-09-11 10:27:19,הרב צביקה,נכון
2023-09-11 15:07:02,הרב צביקה,"הדלקת נרות חנוכה לכתחילה מהשקיעה עד צאת הכוכבים יש חילוקי דעות מה עדיף, בכל מקרה זה עדיף ממאוחר בלילה"
2023-09-11 15:07:06,הרב צביקה,נכון
2023-09-11 16:10:24,הרב צביקה,"לפני אם יהיה דולק בזמן שבין השקיעה לצאת הכוכבים, אם זה יותר מוקדם ולא ידלוק בזמן עדיף יותר מאוחר"
2023-10-11 08:01:04,הרב צביקה,אם הן עם קליפתן מותר
2023-12-11 06:40:22,הרב צביקה,לא
2023-12-11 15:12:49,הרב צביקה,לא
2023-12-11 16:11:26,הרב צביקה,לא
2023-12-11 16:40:13,הרב צביקה,לא
2023-12-11 20:22:51,הרב צביקה,לעזור למישהו להתגלח עם תער אסור משום לפני עוור לא תתן מכשול
2023-12-11 21:53:47,הרב צביקה,לא
2023-12-11 21:54:23,הרב צביקה,מותר
2023-12-11 21:57:29,הרב צביקה,צריך שנשים לא יטבלו שם אחרי טבילת הגברים
2023-12-11 21:59:53,הרב צביקה,אם אין שם נשים ולא יהיו בזמן הקרוב אפשר
2023-01-12 12:45:25,הרב צביקה,בורא נפשות
2023-01-12 13:41:53,הרב צביקה,בזמן
2023-01-12 14:31:34,הרב צביקה,להגיע בלילה
2023-01-12 16:02:03,הרב צביקה,אם זה לצורך מבצעי כן
2023-01-12 16:02:15,הרב צביקה,אם ספק נלחץ בשינוי
2023-04-12 14:18:46,הרב צביקה,"כי הקב""ה קרא ליעקב בשם יעקב גם אחר כך, מכאן שנשארות אצלו שתי המדרגות."
2023-04-12 17:20:21,הרב צביקה,לא מבין את השאלה
2023-04-12 18:07:19,הרב צביקה,לא רואה בתמונה שום ספר
2023-04-12 18:14:36,הרב צביקה,למה יש בעיה בארון ?
2023-04-12 18:14:49,הרב צביקה,הוא על הרצפה ?
2023-04-12 18:15:26,הרב צביקה,בסדר
2023-04-12 22:40:33,הרב צביקה,"על ידי שחיטת האם בשחיטה כשרה, גם העובר ניתר כי הוא חלק מאימו"
2023-04-12 23:19:20,הרב צביקה,צריך להרוג אותו לפני האכילה אך לא צריך שחיטה כשרה
2023-05-12 05:21:02,הרב צביקה,לשטוף ולבדוק
2023-05-12 05:21:26,הרב צביקה,בשר טרף ניתן למכור לגוי
2023-06-12 09:05:50,הרב צביקה,להניח רק של תפילין של יד
2023-07-12 08:45:15,הרב צביקה,אם הוא יכול ויש לו מקום שהוא יישן בו
2023-07-12 16:40:34,הרב צביקה,מספיק שאחד מדליק
2023-07-12 18:42:52,הרב צביקה,אפשר
2023-10-12 07:40:05,הרב צביקה,עדיף במניין
2023-10-12 17:02:25,הרב צביקה,יכול בשבילם
2023-11-12 18:19:53,הרב צביקה,אם מישהו מזכיר מותר.
2023-11-12 21:42:41,הרב צביקה,"אם אכלת לחם וגם נשארו אנשים בשולחן לא צריך לברך שוב, אם לא, צריך לברך ברכה אחרונה ורם רוצים לאכול צריך לברך ברכה ראשונה"
2023-12-12 04:53:48,הרב צביקה,נכון
2023-12-12 07:24:51,הרב צביקה,לא
2023-12-12 09:15:08,הרב צביקה,ספק ברכות להקל.
2023-12-12 13:04:16,הרב צביקה,1. נותנים לגוי במתנה ואחר כך שואלים ממנו או מפרקים ומרכיבים.
2023-12-12 13:13:25,הרב צביקה,"1. עדיף להדליק בזמן, או מפלג או על ידי שליח אחרי השקיעה."
2023-12-12 14:37:55,הרב צביקה,אם ישנם עדיין אנשים ברחוב או שיש איתך לפחות עוד אדם
2023-12-12 19:17:56,הרב צביקה,כן
2024-01-01 13:21:24,הרב צביקה,צריך לללכת להתפלל
2024-01-01 15:28:20,הרב צביקה,אפשר
2024-01-01 15:34:02,הרב צביקה,"השו""ע יו""ד רפח טו כותב על פי הזוהר שצריך לכתוב ש-ד-י בגב המזוזה."
2024-01-01 16:12:02,הרב צביקה,חוסר שם ש-ד-י לא פוסל את המזוזה אבל היא לא עשויה כראוי
2024-03-01 16:04:20,הרב צביקה,אפשר בכל דבר המנקה
2024-03-01 16:05:02,הרב צביקה,"צדקה זו מצווה מהתורה ואין לה שיעור, מעשר כספים הוא מנהג, ויוצאים על ידו ידי חובת מצוות צדקה"
2024-03-01 20:53:19,הרב צביקה,רק אם אין ברירה אחרת
2024-04-01 08:22:30,הרב צביקה,מותר
2024-04-01 18:01:49,הרב גבריאל,‎This message was deleted.
